Date,59T ,61T,54T ,24T ,26T ,27T,30T ,32T,36T ,40T,46T,44T 
31/10/2015,20,24,35,37,32,36,39,23,19,15,16,N/A
1/11/2015,18,23,34,28,28,28,30,17,19,17,14,N/A
2/11/2015,19,22,38,22,31,23,20,13,16,14,13,N/A
3/11/2015,24,28,43,33,26,44,19,17,9,12,13,N/A
4/11/2015,28,35,42,34,30,47,25,19,9,13,21,N/A
5/11/2015,32,31,44,45,31,50,33,19,16,15,20,N/A
6/11/2015,42,46,48,46,33,53,29,22,17,15,15,N/A
7/11/2015,14,18,42,36,30,29,14,15,17,14,9,N/A
8/11/2015,21,24,37,33,27,33,17,11,16,18,13,N/A
9/11/2015,18,26,37,39,24,38,16,13,20,12,15,N/A
10/11/2015,22,29,39,39,26,42,23,19,14,11,15,N/A
11/11/2015,19,22,37,N/A,28,42,44,16,14,13,17,N/A
12/11/2015,22,25,43,53,32,46,30,21,12,16,19,N/A
13/11/2015,29,37,50,42,33,44,23,26,11,12,21,N/A
14/11/2015,31,35,41,47,29,34,26,25,15,16,17,N/A
15/11/2015,35,45,42,47,19,17,31,18,16,17,16,N/A
16/11/2015,26,33,42,47,21,16,30,17,16,18,N/A,N/A
17/11/2015,21,28,42,55,22,14,32,15,14,22,18,N/A
18/11/2015,23,30,43,55,31,23,26,19,20,17,18,N/A
19/11/2015,N/A,39,44,48,36,44,24,22,21,17,17,N/A
20/11/2015,26,33,40,N/A,29,46,31,19,16,N/A,14,N/A
21/11/2015,27,33,49,N/A,33,45,31,15,15,16,14,N/A
22/11/2015,26,30,48,N/A,29,N/A,30,11,12,18,12,N/A
23/11/2015,28,33,44,N/A,30,N/A,29,17,18,13,13,N/A
24/11/2015,32,34,46,42,27,N/A,33,17,19,18,13,N/A
25/11/2015,19,30,41,39,32,38,24,17,25,17,14,N/A
26/11/2015,23,27,36,35,29,37,22,13,27,N/A,12,N/A
27/11/2015,18,26,38,28,35,32,22,14,27,N/A,10,N/A
28/11/2015,24,34,40,38,39,N/A,20,16,26,17,18,N/A
29/11/2015,29,38,34,38,39,N/A,29,19,24,16,20,N/A
30/11/2015,34,40,47,41,36,N/A,32,22,26,22,21,N/A
1/12/2015,30,38,53,45,30,N/A,34,23,25,21,27,N/A
2/12/2015,20,26,35,33,29,N/A,22,13,23,27,30,N/A
3/12/2015,16,25,27,24,29,N/A,28,15,20,17,30,N/A
4/12/2015,22,29,36,35,33,N/A,35,24,16,15,24,N/A
5/12/2015,28,35,44,33,39,N/A,32,20,11,11,23,N/A
6/12/2015,26,35,44,24,32,N/A,35,22,15,11,13,N/A
7/12/2015,27,31,36,24,30,N/A,22,23,N/A,13,13,N/A
8/12/2015,28,34,38,32,36,N/A,28,20,N/A,16,20,N/A
9/12/2015,32,44,54,41,41,N/A,43,27,19,21,29,N/A
10/12/2015,44,61,71,42,41,N/A,73,50,17,17,47,N/A
11/12/2015,32,57,66,54,38,N/A,N/A,46,28,21,53,N/A
12/12/2015,14,32,44,57,33,N/A,53,20,35,23,59,N/A
13/12/2015,17,30,39,N/A,27,N/A,33,16,32,26,48,N/A
14/12/2015,33,49,53,N/A,46,N/A,45,33,33,32,51,N/A
15/12/2015,52,78,82,68,71,N/A,87,76,34,33,40,N/A
16/12/2015,34,47,56,46,71,N/A,72,40,38,36,13,N/A
17/12/2015,20,23,33,27,46,N/A,24,19,33,33,16,N/A
18/12/2015,25,34,44,33,51,N/A,20,18,27,18,22,N/A
19/12/2015,32,43,N/A,36,51,N/A,26,N/A,32,25,31,N/A
20/12/2015,37,48,60,47,49,N/A,40,28,32,25,35,N/A
21/12/2015,38,52,56,42,48,N/A,45,37,41,25,34,N/A
22/12/2015,38,52,51,45,49,N/A,45,42,37,26,41,N/A
23/12/2015,39,55,55,63,65,N/A,49,42,23,21,39,N/A
24/12/2015,29,44,49,57,44,N/A,36,40,25,26,47,N/A
25/12/2015,21,28,41,50,38,N/A,22,19,26,35,39,N/A
26/12/2015,25,34,46,51,37,N/A,29,22,23,33,26,N/A
27/12/2015,28,43,34,53,53,N/A,40,31,20,31,30,N/A
28/12/2015,31,42,40,41,62,N/A,48,33,30,31,27,N/A
29/12/2015,26,39,45,31,53,N/A,40,29,29,27,28,N/A
30/12/2015,25,42,47,N/A,64,51,44,27,32,24,20,N/A
31/12/2015,19,29,41,N/A,55,34,31,17,25,N/A,15,N/A
